,Country Name,UHC,HE_GDP,GDP_per_captia,Population,UHC_rank,HE_GDP_rank,GDP_per_captia1_rank,development index,ln(population)
80,Israel,84.000,7.532,43951.248,8655535,3,2,3,8,4.4608
81,Italy,82.000,8.675,33641.634,60461826,3,3,3,9,6.4046
82,Jamaica,69.000,5.968,5369.498,2961167,2,1,1,4,3.3882
83,Jordan,61.000,7.781,4405.487,10203134,1,2,1,4,4.6253
84,Japan,84.000,10.748,40777.609,126476461,3,3,3,9,7.1426
85,Kazakhstan,73.000,2.818,9812.596,18776707,2,0,2,4,5.2352
86,Kenya,54.000,4.306,1912.648,53771296,1,1,0,2,6.2873
87,Cambodia,60.000,6.183,1643.121,16718965,1,1,0,2,5.1191
88,Kiribati,50.000,11.698,1601.862,119449,0,3,0,3,0.1777
89,Kuwait,68.000,5.100,32373.251,4270571,2,1,3,6,3.7543
90,Lebanon,69.000,8.675,7578.172,6825445,2,3,2,7,4.2232
91,Liberia,39.000,9.039,672.340,5057681,0,3,0,3,3.9235
94,Sri Lanka,64.000,3.912,3852.266,21413249,1,0,1,2,5.3666
95,Lesotho,48.000,10.901,1113.372,2142249,0,3,0,3,3.0644
96,Lithuania,67.000,6.534,19575.768,2722289,2,1,3,6,3.3041
97,Luxembourg,84.000,5.286,113218.713,625978,3,1,3,7,1.8341
98,Latvia,70.000,6.191,17926.842,1886198,2,1,3,6,2.9371
99,Morocco,71.000,5.332,3235.001,36910560,2,1,1,4,5.9111
100,Monaco,84.000,1.596,189487.147,39242,3,0,3,6,-0.9354
101,Moldova,66.000,6.588,4491.689,4033963,1,2,1,4,3.6973
102,Madagascar,31.000,4.198,522.990,27691018,0,0,0,0,5.6237
103,Maldives,71.000,7.652,10561.614,540544,2,2,2,6,1.6874
104,Mexico,73.000,5.379,9950.450,128932753,2,1,2,5,7.1619
105,Marshall Islands,61.000,17.002,4073.110,59190,1,3,1,5,-0.5244
106,North Macedonia,67.000,6.555,6070.388,2083374,2,2,1,5,3.0366
107,Mali,39.000,3.732,879.043,20250833,0,0,0,0,5.3108
108,Malta,80.000,8.811,30186.196,441543,3,3,3,9,1.4851
109,Myanmar,56.000,4.900,1271.112,54409800,1,1,0,2,6.2991
110,Montenegro,65.000,8.344,8910.651,628066,1,2,2,5,1.8375
111,Mongolia,63.000,3.854,4404.846,3278290,1,0,1,2,3.4899
113,Mozambique,46.000,8.092,506.642,31255435,0,2,0,2,5.7448
114,Mauritania,41.000,3.579,1743.303,4649658,0,0,0,0,3.8394
115,Mauritius,64.000,5.867,11097.169,1271768,1,1,2,4,2.543
116,Malawi,47.000,9.829,591.846,19129952,0,3,0,3,5.2538
117,Malaysia,75.000,3.748,11432.823,32365999,2,0,2,4,5.7797
118,Namibia,59.000,8.314,5009.686,2540905,1,2,1,4,3.2351
120,Niger,34.000,5.288,554.099,24206644,0,1,0,1,5.4892
121,Nigeria,41.000,3.091,2229.859,206139589,0,0,0,0,7.6311
122,Nicaragua,68.000,8.586,1926.700,6624554,2,3,0,5,4.1934
123,Netherlands,85.000,10.032,52476.273,17134872,3,3,3,9,5.1437
124,Norway,85.000,10.024,75719.753,5421241,3,3,3,9,3.9929
125,Nepal,48.000,4.528,1194.957,29136808,0,1,0,1,5.6746
126,Nauru,52.000,8.632,11029.736,10824,1,3,2,6,-2.2234
127,New Zealand,85.000,9.210,42755.216,4822233,3,3,3,9,3.8758
128,Oman,69.000,4.104,17700.703,5106626,2,0,3,5,3.9331
129,Pakistan,43.000,3.202,1288.556,220892340,0,0,0,0,7.7003
130,Panama,76.000,7.280,15774.255,4314767,2,2,2,6,3.7646
131,Peru,77.000,5.198,7027.612,32971854,3,1,2,6,5.7982
132,Philippines,53.000,3.954,3485.341,109581078,1,0,1,2,6.9992
133,Palau,58.000,10.849,15232.487,18094,1,3,2,6,-1.7096
134,Papua New Guinea,36.000,2.266,2820.306,8947024,0,0,1,1,4.4939
135,Poland,74.000,6.328,15732.203,37846611,2,1,2,5,5.9361
137,Portugal,84.000,9.413,23330.817,10196709,3,3,3,9,4.6247
138,Paraguay,60.000,6.718,5380.963,7132538,1,2,1,4,4.2673
140,Qatar,72.000,2.625,62276.429,2881053,2,0,3,5,3.3607
141,Romania,71.000,5.561,12899.346,19237691,2,1,2,5,5.2595
142,Rwanda,55.000,6.682,820.149,12952218,1,2,0,3,4.8639
143,Saudi Arabia,72.000,5.748,23139.798,34813871,2,1,3,6,5.8526
144,Sudan,44.000,4.437,610.928,43849260,0,1,0,1,6.0833
145,Senegal,47.000,4.238,1430.148,16743927,0,0,0,0,5.1206
146,Singapore,85.000,4.085,65640.708,5850342,3,0,3,6,4.0691
147,Solomon Islands,49.000,3.996,2344.049,686884,0,0,1,1,1.927
148,Sierra Leone,38.000,8.290,521.755,7976983,0,2,0,2,4.3791
149,El Salvador,74.000,7.093,4167.731,6486205,2,2,1,5,4.1723
150,San Marino,81.000,6.914,47731.209,33931,3,2,3,8,-1.0808
152,Serbia,70.000,8.532,7417.204,8737371,2,3,2,7,4.4702
154,Suriname,68.000,7.897,6853.693,586632,2,2,2,6,1.7692
155,Slovenia,79.000,8.279,25942.955,2078938,3,2,3,8,3.0344
156,Sweden,86.000,10.941,51939.430,10099265,3,3,3,9,4.615
157,Eswatini,57.000,7.257,3915.643,1160164,1,2,1,4,2.4511
158,Seychelles,68.000,5.269,16213.481,98347,2,1,2,5,-0.0167
159,Chad,29.000,4.167,709.540,16425864,0,0,0,0,5.1014
160,Togo,42.000,6.087,893.352,8278724,0,1,0,1,4.4163
161,Thailand,80.000,3.818,7817.010,69799978,3,0,2,5,6.5482
162,Tajikistan,65.000,7.239,890.544,9537645,1,2,0,3,4.5578
163,Turkmenistan,71.000,6.607,7612.035,6031200,2,2,2,6,4.0995
164,Timor-Leste,50.000,7.612,1583.714,1318445,0,2,0,2,2.579
165,Tonga,55.000,5.055,4903.012,105695,1,1,1,3,0.0554
166,Trinidad and Tobago,72.000,6.710,16637.163,1399488,2,2,2,6,2.6387
167,Tunisia,68.000,6.821,3574.654,11818619,2,2,1,5,4.7723
168,Turkey,77.000,4.124,9121.515,84339067,3,0,2,5,6.7374
169,Tuvalu,52.000,19.036,4055.896,11792,1,3,1,5,-2.1377
170,Tanzania,43.000,4.154,1085.885,59734218,0,0,0,0,6.3925
171,Uganda,48.000,4.031,798.586,45741007,0,0,0,0,6.1256
172,Ukraine,70.000,7.520,3661.456,43733762,2,2,1,5,6.0807
173,Uruguay,78.000,9.015,17688.015,3473730,3,3,3,9,3.5478
174,United States,82.000,16.687,65279.529,331002651,3,3,3,9,8.1047
175,Uzbekistan,69.000,5.303,1784.010,33469203,2,1,0,3,5.8132
177,Vietnam,68.000,5.034,2715.276,97338579,2,1,1,4,6.8808
178,Vanuatu,50.000,3.346,3116.298,307145,0,0,1,1,1.1221
179,Samoa,54.000,5.472,4322.868,198414,1,1,1,3,0.6852
180,South Africa,66.000,8.858,6624.762,59308690,1,3,2,6,6.3853
181,Zambia,52.000,5.033,1305.001,18383955,1,1,0,2,5.2141
182,Zimbabwe,56.000,8.680,1316.741,14862924,1,3,0,4,5.0015
